Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"192743-Vanzare apartament 1 camera, Gruia, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gruia",83000.00 ,Semidec.,30 mp
"192941-Vanzare Apartament 3 Camere, Zorilor, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",200000.00 ,Dec.,82 mp
"192942-Vanzare Apartamente In Bloc Nou, Buna Ziua, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",155270.00 ,Semidec.,56 mp
"193027-Vanzare Apartament In Bloc Nou, Gheorgheni, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",145000.00 ,Dec.,56 mp
"193027-Vanzare Apartament In Bloc Nou, Gheorgheni, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",145000.00 ,Dec.,61 mp
"193027-Vanzare Apartament In Bloc Nou, Gheorgheni, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",145000.00 ,Semidec.,59 mp
"193036-Vanzare Apartament 2 Camere, Grigorescu, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",199500.00 ,Semidec.,64 mp
"193163- Vanzare Apartamente In Bloc Nou, Gheorgheni, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",79381.00 ,Dec.,36 mp
"2 apartamente de vanzare in Piata Mihai Viteazul, ideale pentru investitie
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",219000.00 ,Semidec.,89 mp
"2 camere  etaj 3 Zona Transylvania College Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",117500.00 ,Semidec.,47 mp
"2 camere ,semidecomandat, zona OMV, Calea Turzii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",163000.00 ,Semidec.,54 mp
"2 camere | Boem | Zona Vivo
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",110000.00 ,Semidec.,58 mp
"2 camere | Decomandat | Zona Interservisan | Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",154000.00 ,Dec.,62 mp
"2 Camere | Etaj Intermediar | Ideal Investitie | Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",93500.00 ,Semidec.,39 mp
"2 CAMERE || CENTRALA || MANASTUR
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",83000.00 ,Semidec.,36 mp
"2 camere 45 mp ,modern TOTUL NOU, Lidl Calea Baciului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Cordos",95500.00 ,Semidec.,45 mp
"2 camere Bloc tip Vila cu Parcare Subterana in Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",149000.00 ,Semidec.,59 mp
"2 camere Bloc tip Vila cu Parcare Subterana in Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",159000.00 ,Semidec.,59 mp
"2 camere cu bucatarie separata, 52,68mp, bloc 2019, Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",137500.00 ,Semidec.,52.68 mp
"2 camere cu view, The Office, 49 mp, terasa, garaj, bloc nou
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",123100.00 ,Semidec.,49.24 mp
"2 camere decomandat, mobilat, utilat,  cartier Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Buna Ziua",150000.00 ,Dec.,52 mp
"2 camere Decomandate  Pasteur Zorilor zona UMF
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor", € -   ,Dec.,50 mp
"2 camere decomandate, 52 mp, zona Campului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Câmpului",115000.00 ,Dec.,52 mp
"2 camere decomandate, 72 mp, Europa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",139950.00 ,Dec.,72 mp
"2 Camere Decomandate, Intermediar, Finisat Clasic, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",113000.00 ,Dec.,44 mp
"2 Camere Decomandate, Intermediar, Mobilat, Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",127000.00 ,Dec.,50 mp
"2 Camere Decomandate, Intermediar, Renovabil, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",79000.00 ,Dec.,40 mp
"2 Camere Decomandate, Intermediar, Semimobilat, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",118500.00 ,Dec.,46 mp
"2 camere decomandate, manastur, zona Baza Sportiva
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",82000.00 ,Dec.,40 mp
"2 Camere Decomandate, Mobilat, Utilat, Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",119000.00 ,Dec.,52 mp
"2 camere decomandate, parcare, 2 boxe, preluare chiriasi, Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",163000.00 ,Semidec.,62 mp
"2 camere decomandate, Piata Marasti, 51 mp, 2 balcoane etaj 10 din 11
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",118000.00 ,Dec.,51 mp
